pairID	gold_label	Sentence1	Sentence2	Explanation_1	Sentence1_si	Sentence2_si	Explanation_1_si
3619232550.jpg#1r1n	neutral	A group of musicians are recording music.	A band is making a demo tape.	Music doesn't necessarily mean a demo tape.	Skupina glasbenikov snema glasbo.	Skupina snema demo kaseto.	Glasba ne pomeni nujno demo kasete.
3773302802.jpg#0r1c	contradiction	A man in t-shirt and shorts kneels near a line of plastic crates containing duct tape, bags, and other supplies.	The man is standing on the crate.	KNEELS IS NOT STANDING	Moški v kratki majici in kratkih hlačah kleči blizu vrste plastičnih zabojev, v katerih so lepilni trak, vrečke in druge potrebščine.	Človek stoji na zaboju.	KLEČE NE STOJI
3473411697.jpg#0r1n	neutral	A man without a shirt wearing black jogging shorts and a woman in a black t-shirt and red shorts jog together through a park.	The couple are enjoying a leisurely jog through the park on a nice day.	You can not infer they are a couple.	Moški brez srajce, oblečen v črne tekaške hlače, in ženska v črni majici s kratkimi rokavi in rdečimi kratkimi hlačami tečeta skupaj po parku.	Par na lep dan uživa v lagodnem teku po parku.	Ne morete sklepati, da sta par.
3961790757.jpg#3r1e	entailment	An older man eating a burrito.	An elderly gentlemen eats a burrito.	"""An elderly gentlemen eats"" is just a rephrasing of ""an older man eating."""	Starejši moški jé burrito.	Starejši gospod jé burrito.	&quot;Starejši gospod jé&quot; je le preoblikovan izraz &quot;starejši moški, ki jé&quot;.
281658181.jpg#1r1e	entailment	A female athlete attempts a vault over a pole while spectators take pictures.	A female athlete is vaulting.	If he attempts a vault, he must be vaulting next.	Atletinja poskuša skočiti čez palico, medtem ko gledalci fotografirajo.	Atletinja skače.	Če poskuša s preskokom, mora biti naslednji.
241480898.jpg#1r1n	neutral	Three infants wearing sunhats are playing at the edge of the water on a beach.	Three infants and their mothers play in the water at a beach	At the edge of the water is not the same as in the water. The infant's mothers are not necessarily with them. Someone else could be looking after the infants.	Trije dojenčki s sončnimi klobučki se igrajo ob robu vode na plaži.	Trije dojenčki in njihove matere se igrajo v vodi na plaži	Na robu vode ni isto kot v vodi. Ni nujno, da so dojenčkove matere z njimi. Lahko bi kdo drug skrbel za dojenčke.
2830559753.jpg#0r1n	neutral	A young woman in a green shirt holds a toddler in a red shirt while a man in a white shirt laughs along with them.	The toddler is smiling	There is no indication that the toddler is smiling.	Mlada ženska v zeleni srajci drži malčka v rdeči srajci, moški v beli srajci pa se smeji skupaj z njima.	Malček se smehlja	Nič ne kaže, da je malček nasmejan.
2636514498.jpg#1r1n	neutral	A young child is playing with a stick at a playground.	A kid is whacking something with a stick.	Not all young child playing with a stick at a playground is whacking something with a stick.	Majhen otrok se igra s palico na igrišču.	Otrok nekaj udarja s palico.	Vsi majhni otroci, ki se igrajo s palico na igrišču, ne udarjajo po nečem s palico.
4952441872.jpg#4r1c	contradiction	A woman in a red shirt dancing.	A woman is sleeping.	One either is dancing or sleeping.	Ženska v rdeči srajci pleše.	Ženska spi.	Eden ali pleše ali spi.
5903545909.jpg#2r1n	neutral	A baseball player dives for a catch but is too late.	The player's glove was very close.	The glove could have missed by more than a little bit, but it was close.	Igralec bejzbola se potopi za ulov, a je prepozen.	Igralčeva rokavica je bila zelo blizu.	Rokavica bi lahko zgrešila za več kot malo, a je bila blizu.
2981951954.jpg#2r1c	contradiction	Three men in orange vests and hard hats are next to a building.	Three workers are on a golf course.	Golf courses are large expanses of empty land.  Therefore, the workers cannot be both next to a building and on a golf course.	Trije moški v oranžnih jopičih in s čeladami so poleg stavbe.	Trije delavci so na igrišču za golf.	Igrišča za golf so velika prazna zemljišča. Delavci torej ne morejo biti hkrati ob stavbi in na igrišču za golf.
4879725156.jpg#2r3e	entailment	A young woman, scantily dressed and wearing a red bandanna, is dancing barefoot on the sidewalk.	The young woman is wearing little clothes.	A young woman scantily dressed is wearing little clothes.	Mlada ženska, pomanjkljivo oblečena in nosi rdečo bandano, pleše bosa na pločniku.	Mlada ženska nosi majhna oblačila.	Mlada ženska, pomanjkljivo oblečena, nosi majhna oblačila.
180362693.jpg#3r1n	neutral	A woman razor cutting another woman's hair.	the woman is a barber	Sentence 1 is missing woman is a barber	Ženska z britvico striže lase druge ženske.	ženska je brivec	V 1. stavku manjka ženska je brivec
4756096577.jpg#4r1n	neutral	An Asian man riding a motorcycle.	Person on a Harley-Davidson motorcycle.	It is not necessarily a Harley-Davidson motorcycle. There are many brands of motorcycles.	Azijec na motorju.	Oseba na motociklu Harley-Davidson.	Ni nujno, da gre za motocikel Harley-Davidson. Obstaja veliko znamk motornih koles.
4440322311.jpg#1r1c	contradiction	A young woman walking down the rainy streets in a red parka.	A woman walks down the street in a blue parka.	A woman either walks down the street in a red or blue parka.	Mlada ženska, ki hodi po deževnih ulicah v rdeči parki.	Ženska hodi po ulici v modri parki.	Ženska hodi po ulici v rdeči ali modri parki.
1409723496.jpg#0r2e	entailment	A man with dark hair is wearing a white shirt with printed flames and is holding a pair of tongs.	A man is planning on handling something hot.	The man is holding a pair of tongs which means he must be planning on handling something hot.	Moški s temnimi lasmi nosi belo srajco z natisnjenimi plameni in drži klešče.	Moški namerava rokovati z nečim vročim.	Moški drži klešče, kar pomeni, da verjetno namerava rokovati z nečim vročim.
447239398.jpg#3r1e	entailment	People walking down the street facing away.	People walking outside.	Street implies outside.	Ljudje, ki hodijo po ulici, so obrnjeni stran.	Ljudje, ki hodijo zunaj.	Ulica pomeni zunaj.
6034227204.jpg#3r1e	entailment	A man meditating on the floor facing the window.	a man on the floor	Meditating is done on the floor.	Moški meditira na tleh, obrnjen proti oknu.	človek na tleh	Meditacija poteka na tleh.
1199847613.jpg#4r1e	entailment	3 couples in white clothes are playing piggyback.	Several couples play piggyback	3 couples can be described as several couples as it is more than 2	3 pari v belih oblačilih se igrajo piggyback.	Več parov igra piggyback	3 pare lahko opišemo kot več parov, saj je več kot 2
4603546829.jpg#4r1e	entailment	Two women walk arm in arm down a busy street.	Two women walk together.	Two women are walking arm in a arm, so the two women are walking together.	Dve ženski hodita z roko v roki po prometni ulici.	Dve ženski hodita skupaj.	Dve ženski hodita z roko v roki, tako da hodita skupaj.
4088621077.jpg#4r1c	contradiction	Soldiers sit on either side of a young boy.	Soldiers are marching a young prisoner to a camp.	Soldiers sitting on either side of a person cannot be marching that person at the same moment.	Vojaki sedijo na obeh straneh mladega fanta.	Vojaki vodijo mladega ujetnika v taborišče.	Vojaki, ki sedijo na obeh straneh osebe, ne morejo marširati te osebe v istem trenutku.
6540658813.jpg#0r1n	neutral	A bearded man in a gray cap and a yellow apron is changing the tire on a red bicycle.	A man is changing a tire on his red bicycle at the street	He may not be standing at the street	Bradati moški v sivi kapici in rumenem predpasniku menja pnevmatiko na rdečem kolesu.	Moški menja pnevmatiko na svojem rdečem kolesu na ulici	Morda ne stoji na ulici
4771908421.jpg#2r1n	neutral	A man in a blue shirt and tie makes a hand gesture.	A magician tries a trick.	The man may or may not be a magician.  Hand gestures are not necessarily always a trick.	Moški v modri srajci in kravati naredi roko.	Čarovnik poskuša z zvijačo.	Moški je lahko čarovnik ali pa tudi ne. Poteze z rokami niso nujno vedno trik.
2148991939.jpg#0r1c	contradiction	The black dog leaps off the dock and into the water.	The white dog leaped into the water.	The dog is either black or white.	Črni pes skoči z doka v vodo.	Beli pes je skočil v vodo.	Pes je črn ali bel.
3687250043.jpg#1r1c	contradiction	A little kid in a blue shirt is waving an american flag while participating in a parade.	A little kid cries because he didn't get any candy.	Child cannot get candy while participating in a parade.	Otrok v modri srajci maha z ameriško zastavo med udeležbo na paradi.	Otrok joka, ker ni dobil sladkarij.	Otrok med udeležbo na paradi ne more dobiti sladkarij.
3722006169.jpg#4r1c	contradiction	Pit crew working on a race car.	the men are driving a truck	The crew isn't driving a truck, they're working on a race car.	Ekipa v boksu dela na dirkalniku.	moški vozijo tovornjak	Ekipa ne vozi tovornjaka, delajo na dirkalnem avtomobilu.
3179231812.jpg#1r1e	entailment	Blond child in red shirt standing on a plastic wreathed Christmas sleigh.	Child wearing a shirt standing on a sleigh.	we have the rephrasing of the words Child wearing a shirt standing on a sleigh	Plavolas otrok v rdeči srajci, ki stoji na plastičnih božičnih saneh.	Otrok, oblečen v srajco, stoji na saneh.	imamo preoblikovanja besed Otrok v srajci, ki stoji na saneh
1141643526.jpg#0r4c	contradiction	A group of people gather in a bar, and one man in a black shirt holds his arm and signals to the camera.	A group of people are sitting in a movie theater.	A bar and a movie theater are different types of buildings.	Skupina ljudi se zbere v lokalu in moški v črni srajci ga drži za roko in signalizira v kamero.	Skupina ljudi sedi v kinu.	Bar in kino sta različni vrsti zgradb.
1579798212.jpg#4r1n	neutral	A child sings into a loofa in the bathtub	The loofa was just used to clean his butt.	It cannot be inferred that the loofa was used to clean the child's butt.	Otrok poje v lufo v kadi	Lufa je bila samo uporabljena za čiščenje njegove zadnjice.	Ni mogoče sklepati, da je bila lufa uporabljena za čiščenje otrokove zadnjice.
4324845330.jpg#3r1c	contradiction	A group of people laying in the snow.	People are standing in the hot sun.	People can't be standing in the hot sun and laying the snow at the same  time.	Skupina ljudi, ki ležijo v snegu.	Ljudje stojijo na vročem soncu.	Ljudje ne morejo stati na žgočem soncu in hkrati polagati sneg.
6331511.jpg#0r1c	contradiction	A popcorn or snack vendor sitting in a wooden chair outside next to her wares.	A snack vendor is selling popcorn in the park.	Selling is not the same as sitting in a chair.	Prodajalka pokovke ali prigrizkov, ki sedi na lesenem stolu zunaj poleg svojih izdelkov.	Prodajalec prigrizkov v parku prodaja pokovko.	Prodajati ni isto kot sedeti na stolu.
7785430960.jpg#0r1e	entailment	An beautiful Asian-looking woman wearing a dress is holding a microphone singing as she holds a dark colored feather boa at her chest.	A woman sings into a microphone.	The woman holding a microphone singing also sings into a microphone.  It is a different way of saying the same thing and the rest of sentence 1 does not negate the statement: A woman sings into a microphone.	Lepa ženska azijskega videza v obleki drži mikrofon in poje, medtem ko na prsih drži temnega pernatega boa.	Ženska poje v mikrofon.	Ženska, ki drži mikrofon in poje, tudi poje v mikrofon. To je drugačen način povedati isto stvar in preostali del 1. stavka ne zanika izjave: Ženska poje v mikrofon.
4282604922.jpg#3r1n	neutral	People standing in line at a Pizza Pizza place.	People standing in line at a Pizza Pizza place take out.	The pizza pizza place is not necessarily take out.	Ljudje, ki stojijo v vrsti v piceriji Pizza.	Ljudje, ki stojijo v vrsti v lokalu Pizza Pizza, vzamejo hrano.	Ni nujno, da je picerija picerija za s seboj.
2865409854.jpg#3r1c	contradiction	People at a park with a public waterspout area.	A group sits in a coffee shop.	One cannot be at coffee shop and at park simultaneously.	Ljudje v parku z javno trombo.	Skupina sedi v kavarni.	Človek ne more biti hkrati v kavarni in v parku.
3179231812.jpg#2r1e	entailment	A toddler wearing an Elmo t-shirt is standing in Santa's sleigh.	A baby is visiting santa and his sleigh	If the baby is in Santa's sleigh, he must be visiting with Santa.	Malček, oblečen v majico Elmo, stoji v Božičkovih saneh.	Dojenček je na obisku pri Božičku in njegovih saneh	Če je dojenček v Božičkovih saneh, mora biti na obisku z Božičkom.
2839038702.jpg#0r1c	contradiction	A dog stands on a hill looking towards the valley with a stick in its mouth.	A dog stands on a hill looking down at the grass.	If the dog is looking at grass, he cannot be looking at a valley	Pes stoji na hribu in gleda v dolino s palico v gobcu.	Pes stoji na hribu in gleda v travo.	Če pes gleda v travo, ne more gledati v dolino
3681056426.jpg#0r1e	entailment	Four jockeys and their horses race towards the finish line at a racetrack.	Jockeys on their horse	Four jockeys can be referred to as jockeys in general.	Štirje džokeji in njihovi konji dirkajo proti cilju na dirkališču.	Jockeys na svojih konjih	Štiri džokeje lahko na splošno imenujemo džokeji.
145721496.jpg#1r1e	entailment	A bird is standing on a rock overlooking a waterfall.	The bird was outside.	waterfall is outside..	Ptica stoji na skali in gleda na slap.	Ptica je bila zunaj.	slap je zunaj..
138718600.jpg#2r1n	neutral	Two blond women sit beside their bicycles in the grass beside a body of water.	The women are resting afther a triathlon.	just because two women are sitting in the grass doesn't imply they are resting afther a triathlon.	Dve svetlolasi ženski sedita poleg svojih koles v travi ob vodnem telesu.	Ženske počivajo po triatlonu.	samo zato, ker dve ženski sedita v travi, še ne pomeni, da počivata po triatlonu.
115903799.jpg#0r5n	neutral	A barefoot young girl in a pink gown is asleep on a hard wood floor cuddling her baby doll.	The girl does not have a bed.	The fact that the girl is asleep on the floor doesn't imply girl doesn't have a bed.	Bosonogo dekle v rožnati obleki spi na trdih lesenih tleh in crklja svojo punčko.	Deklica nima postelje.	Dejstvo, da dekle spi na tleh, ne pomeni, da dekle nima postelje.
4589055346.jpg#0r2e	entailment	A smiling young female soccer fan wears a red and white shirt with a soccer logo, a red vinyl cape, and a hat that looks like a soccer ball with a small Swiss flag attached.	There is a smiling young female soccer fan that is wearing a red and white shirt, a red cape, and a hat that looks like a soccer ball.	This is part of the rephase of the overall description of female soccer fan with a hat with small Swiss flag attached.	Nasmejana mlada nogometna navijačica nosi rdeče-belo majico z nogometnim logotipom, rdečo vinilno pelerino in klobuk, ki je videti kot nogometna žoga z majhno švicarsko zastavo.	Tam je nasmejana mlada nogometna navijačica, ki nosi rdeče-belo majico, rdečo pelerino in klobuk, ki je videti kot nogometna žoga.	To je del preoblikovanega splošnega opisa nogometne navijačice s klobukom z majhno švicarsko zastavo.
136644343.jpg#3r1e	entailment	A boy swinging on a tire swing.	There is a child on the tireswing	A child is on the tireswing.	Deček, ki se guga na gugalnici.	Na gugalnici je otrok	Otrok je na gumah.
239274377.jpg#2r2e	entailment	A woman with a white shirt and ponytail walks by.	A woman walks by.	A woman in a shirt and ponytail walks by.	Mimo gre ženska z belo srajco in čopom.	Mimo gre ženska.	Mimo gre ženska v srajci in s čopom.
4919450790.jpg#3r1n	neutral	A city scene in one point perspective with people walking.	It is nighttime in New York City.	Just because it is a city does not mean that it is New York City	Mestni prizor v eni točkovni perspektivi s sprehajajočimi se ljudmi.	V New Yorku je noč.	Samo zato, ker je mesto, še ne pomeni, da je New York
2991375936.jpg#2r1n	neutral	A young girl approaches an adult on a brick walkway.	A father meets his daughter on the sidewalk.	Just because a young girl approaches an adult on a brick walkway does not mean that a father meets his daughter	Mlado dekle se približa odrasli osebi na zidani stezi.	Oče sreča hčerko na pločniku.	Samo zato, ker se mlado dekle približa odrasli osebi na zidani stezi, še ne pomeni, da oče sreča svojo hčerko
956164675.jpg#4r1n	neutral	Man wearing green sneakers runs down highway.	A man runs down the highway from the police.	The man running down the highway could be in a race and not running from the police.	Moški, obut v zelene športne copate, teče po avtocesti.	Moški beži po avtocesti pred policijo.	Moški, ki teče po avtocesti, je lahko v tekmi in ne beži pred policijo.
3123651135.jpg#0r1n	neutral	A man sitting at a table looking at a woman, who has a hat on, which has a handkerchief connected so it may wrap under her chin, and the woman is working a food stand made of wood.	Some people are eating.	The man sitting may not be eating.	Moški, ki sedi za mizo, gleda žensko, ki ima na glavi klobuk, ki ima poveznjen robec, da se lahko zavije pod njeno brado, in ženska dela na stojalu za hrano iz lesa.	Nekateri ljudje jedo.	Človek, ki sedi, morda ne je.
4107496324.jpg#4r4c	contradiction	A chef preparing caramel kettle corn.	a restaurant makes vegetables for everyone who enters	Caramel kettle corn is not considered vegetables.	Kuhar pripravlja karamelno koruzo v kotličku.	restavracija pripravi zelenjavo za vse, ki vstopijo	Karamelna koruza se ne šteje za zelenjavo.
1252210354.jpg#0r3c	contradiction	A young man, with billowy red-hair, lines up his shot of the 9 ball on a pool table.	The young man has black hair.	Black hair is different color from red hair.	Mladenič z valovitimi rdečimi lasmi niza svojo žogico 9 na biljardni mizi.	Mladenič ima črne lase.	Črni lasje so drugačne barve od rdečih las.
2162564553.jpg#3r1c	contradiction	A shirtless man in a pink hat stands on a rocky shore.	The young lady laughs at the guy in red.	Either the subject is a man or lady.	Moški brez srajce z rožnatim klobukom stoji na skalnati obali.	Mlada dama se smeje tipu v rdečem.	Predmet je moški ali ženska.
3211453055.jpg#1r1e	entailment	Two skiers getting ready to jump off of a ski lift.	People are in the snow.	Skiing is a sport that only happens in the snow.	Dva smučarja, ki se pripravljata na skok z vlečnice.	Ljudje so v snegu.	Smučanje je šport, ki se dogaja samo na snegu.
3831874776.jpg#3r5e	entailment	A merchant is rearranging her items for sale.	The storeowner is looking at her wares	A merchant owns her own own store.	Trgovka prerazporeja svoje predmete za prodajo.	Lastnica trgovine si ogleduje svoje izdelke	Trgovec ima lastno trgovino.
13648274.jpg#4r1n	neutral	A camera crew waits near some water.	A camera is dropped in the water	A camera crew can wait near water without having been dropped into it.	Snemalna ekipa čaka blizu vode.	Fotoaparat je padel v vodo	Snemalna ekipa lahko čaka blizu vode, ne da bi jo vanjo spustili.
2320125735.jpg#0r1c	contradiction	A black and brown dog with blue collar goes on alert by a soccer ball in the grass.	The dog is asleep in the house	The dog is asleep and is not awake to go on alert.	Črno-rjavi pes z modro ovratnico je pripravljen na nogometno žogo v travi.	Pes spi v hiši	Pes spi in ni buden, da bi bil pripravljen.
4925702921.jpg#2r4n	neutral	A woman in a large concrete basin carrying a long instrument	A person has hands full.	Just because one is carrying a long instrument does not mean that your hands are full.	Ženska v velikem betonskem umivalniku z dolgim instrumentom	Človek ima polne roke dela.	Samo zato, ker nekdo nosi dolg instrument, še ne pomeni, da imate polne roke dela.
vg_len87r5e	entailment	The boat has two large masts.	A boat with masts	Two large masts on a boat	Čoln ima dva velika jambora.	Čoln z jambori	Dva velika jambora na čolnu
5453806694.jpg#0r1n	neutral	People in full riot gear running through a barricaded street led by two people on horseback while a seated crowd watches.	The horses are brown.	The horse can be white, black or brown	Ljudje v popolni opremi za izgrede tečejo po ulici z barikadami, vodita jih dva človeka na konjih, medtem ko sedeča množica opazuje.	Konji so rjavi.	Konj je lahko bel, črn ali rjav
1693115528.jpg#1r1c	contradiction	A woman is sitting at a booth and watching hockey on a small television.	There is no one in the room	There cannot be no one in the room when a woman is sitting in a room, watching television.	Ženska sedi za kabino in gleda hokej na majhnem televizorju.	V sobi ni nikogar	V sobi ne more biti nikogar, ko ženska sedi v sobi in gleda televizijo.
4379588756.jpg#1r1c	contradiction	A group of people are running a marathon in winter.	The group of people are running a marathon during the summer.	It cannot be winter and summer at the same time.	Skupina ljudi pozimi teče maraton.	Skupina ljudi poleti teče maraton.	Ne more biti zima in poletje hkrati.
4760466704.jpg#3r1e	entailment	Man with black jacket sits on wall and overlooks river.	There is a man outside observing the water.	A man could wear a black jacket.	Moški s črno jakno sedi na steni in gleda na reko.	Zunaj je moški, ki opazuje vodo.	Moški bi lahko nosil črno jakno.
287965739.jpg#3r1e	entailment	A crowd watches two adults in pink skirts.	There is a crowd of people watching two adults.	People formulate a crowd	Množica gleda dve odrasli osebi v rožnatih krilih.	Množica ljudi opazuje dva odrasla.	Ljudje oblikujejo množico
1275832390.jpg#4r1n	neutral	a crowd of people crossing a street.	Some people head to the ball game.	Crossing the street does not mean they head to the ball game.	množica ljudi prečka ulico.	Nekateri se odpravijo na igro z žogo.	Prečkanje ulice ne pomeni, da se odpravijo na igro z žogo.
2908466042.jpg#0r1n	neutral	two brown dogs playing around with each other in a house.	Two puppies play.	Not all dogs are puppies.	dva rjava psa, ki se igrata drug z drugim v hiši.	Igrata se dva kužka.	Niso vsi psi mladički.
3772528949.jpg#2r1n	neutral	Two barefoot men in hats sit on a raft holding paddles	Two men wearing hats drifting down a calm river lined with trees.	We have no information about the state of the river, if it is calm or not or if it is lined with trees.	Dva bosonoga moška s klobuki sedita na splavu in držita vesli	Dva moška s klobukoma plutata po mirni reki, obdani z drevesi.	Nimamo podatkov o stanju reke, ali je mirna ali ne, ali je obdana z drevesi.
6309597419.jpg#1r1c	contradiction	A young mad pitching on a baseball team wearing a dark top and light colored uniform bottoms.	A pitcher is wearing a light top	young wearing a dark top cannot be a pitcher wearing a light top at the same time	Mlad norec igra bejzbolsko ekipo, oblečen v temen zgornji del in svetle spodnje dele uniforme.	Vrč nosi svetel vrh	mlad, ki nosi temen zgornji del, ne more hkrati biti vrč, ki nosi svetel zgornji del
191652362.jpg#4r1e	entailment	Two women in matching uniforms are waving.	Two women are waving.	The two women are waving.	Dve ženski v enakih uniformah mahata.	Dve ženski mahata.	Ženski mahata.
4523790717.jpg#2r1e	entailment	Several people working on a project with crafts.	People work on their craft.	people are several	Več ljudi dela na projektu z obrtjo.	Ljudje delajo na svoji obrti.	ljudi je več
1877935642.jpg#3r1e	entailment	A man is cooking some sort of white food.	The food being cooked by the man is white.	With the second sentence stating that the man is white it can be assumed that white food is referencing white as a food ethnicity. So in both sentences a white man is cooking food.	Človek kuha nekakšno belo hrano.	Hrana, ki jo kuha moški, je bela.	Z drugim stavkom, ki navaja, da je moški bel, lahko domnevamo, da se bela hrana nanaša na belo kot prehranjevalno etnično pripadnost. Torej v obeh stavkih beli človek kuha hrano.
1406296515.jpg#0r2e	entailment	Many people are sitting outside the leaning tower of Piza, one girl dressed in green is facing the camera and eating a sandwich.	The girl is outside eating.	The girl is eating outside the leaning tower of Piza.	Veliko ljudi sedi pred poševnim stolpom v Pizi, eno dekle, oblečeno v zeleno, je obrnjeno proti kameri in jé sendvič.	Deklica je zunaj in je.	Deklica jé pred poševnim stolpom v Pizi.
309059803.jpg#4r1c	contradiction	A butcher is working at a market.	A butcher is on break in the back.	Butcher cannot be working if they are on break.	Na tržnici dela mesar.	Zadaj je na odmoru mesar.	Mesar ne more delati, če so na odmoru.
3373544964.jpg#2r1n	neutral	A muscular dog with upturned face looking into eyes of a young boy.	A muscular dog is pondering biting a young boy.	Looking into the eyes of a boy does not imply pondering biting.	Mišičast pes z navzgor obrnjenim obrazom gleda v oči mladega fanta.	Mišičasti pes razmišlja o ugrizu mladeniča.	Pogled v oči fanta ne pomeni razmišljanja o ugrizu.
4678485216.jpg#1r1c	contradiction	Carnival games at a place called Giorgio, with stuffed animals hanging from the ceiling.	Carnival people at a place called Michael's, with stuffed animals hanging from the ceiling.	A place cant be called Giorgio and Michael's,	Pustne igre v kraju Giorgio, s stropom visečimi nagačenimi živalmi.	Pustni ljudje v kraju, imenovanem Michael&#39;s, s stropom visijo plišaste živali.	Kraj se ne more imenovati Giorgio and Michael&#39;s,
4109591035.jpg#1r1e	entailment	Two boys are thinking of what they want to buy and two boys picking up money they dropped.	Four boys are in the picture.	Two plus two is four.	Dva fanta razmišljata, kaj bi rada kupila, dva fanta pa pobirata denar, ki jima je padel.	Na sliki so štirje fantje.	Dva plus dva je štiri.
8038855203.jpg#2r1c	contradiction	A pair of young boys dressed in shorts and shirts are playing table tennis.	A dong pees on the rung.	"Young boys are not a dong. The word ""playing"" is a different action than ""pees""."	Par mladih fantov, oblečenih v kratke hlače in srajce, igra namizni tenis.	Dong se polula na prečko.	Mladi fantje niso dong. Beseda &quot;igranje&quot; je drugačno dejanje kot &quot;lulanje&quot;.
1149097018.jpg#0r1e	entailment	A little baby dressed in green and yellow wearing a bib cries.	a baby crying	"""Crying"" is a rephrasing of cries."	Majhen dojenček, oblečen v zeleno in rumeno, z oprsnico joka.	dojenček joka	&quot;Jok&quot; je preoblikovana beseda jok.
4916125179.jpg#1r1e	entailment	A teenage boy putting up a shear tent in the hot sun.	A teenage boy putting up a shear tent	The two statements are saying the same thing: a teenage boy is putting up a shear tent	Najstnik postavlja šotor na vročem soncu.	Najstnik postavlja strižni šotor	Izjavi govorita isto: najstnik postavlja šotor za striženje
4567734402.jpg#1r1e	entailment	A man and a woman are about to kiss.	A man and woman are in a relationship.	A man and a woman kissing can be assumed to be in a relationship.	Moški in ženska se bosta poljubila.	Moški in ženska sta v razmerju.	Za moškega in žensko, ki se poljubljata, lahko sklepamo, da sta v razmerju.
2213113526.jpg#4r1n	neutral	A woman placing a baby on a skateboard on the beach.	This is the womans child	Just because a woman place a baby on a skateboard doesn't mean this is the womans child.	Ženska polaga otroka na rolko na plaži.	To je ženski otrok	Samo zato, ker ženska postavi otroka na rolko, še ne pomeni, da je to njen otrok.
485054073.jpg#4r1n	neutral	A Frisbee casts a shadow on the dog.	A dog tries to catch a frisbee.	The dog does not necessarily try to catch the Frisbee.	Frizbi meče senco na psa.	Pes poskuša ujeti frizbi.	Ni nujno, da pes poskuša ujeti frizbi.
6191612418.jpg#3r3n	neutral	A woman is running a marathon while people dressed up in roman costumes follow her.	there is a festival in the city	Sentence 1: A woman is running a marathon while people dressed up in roman costumes follow her. Sentence 2: there is a festival in the city	Ženska teče maraton, ljudje, oblečeni v rimske noše, pa ji sledijo.	v mestu je festival	1. stavek: Ženska teče maraton, ljudje, oblečeni v rimske noše, pa ji sledijo. 2. stavek: v mestu je festival
1122944218.jpg#0r1n	neutral	A little toddler dressed in white is smiling while a lady helps him wave a flag.	The lady and her son are waving a flag at a parade.	Just because a toddler is being helped by a woman doesn't imply that he is her son.	Majhen malček, oblečen v belo, se smehlja, medtem ko mu gospa pomaga mahati z zastavo.	Gospa in njen sin mahata z zastavo na paradi.	Samo zato, ker malčku pomaga ženska, še ne pomeni, da je njen sin.
40261771.jpg#0r1e	entailment	A crowd of black people are gathered and one person has a backpack on.	A person has a backpack in a crowd of black people.	There's a crowd of black people and a person with a backpack.	Zbrala se je množica črncev in ena oseba ima na sebi nahrbtnik.	Oseba ima nahrbtnik v množici temnopoltih ljudi.	Tam je množica črncev in oseba z nahrbtnikom.
182246705.jpg#4r5c	contradiction	Young boys are walking in galoshes.	Young boys are barefoot.	One can not be barefoot and in galoshes simultaneously.	Mladi fantje hodijo v galošah.	Mladi fantje so bosi.	Ne moremo biti hkrati bosi in v galošah.
2658944258.jpg#0r1e	entailment	Two men wearing hats play accordions while standing between two burgundy and black pre-World War II automobiles.	Two men are playing accordions while standing near 2 black and burgundy antique cars.	Cars are considered to be automobiles also.	Dva moška s klobuki igrata harmoniko, medtem ko stojita med dvema bordo črnima avtomobiloma izpred druge svetovne vojne.	Dva moška igrata harmoniko, medtem ko stojita blizu dveh črnih in bordo rdečih starinskih avtomobilov.	Tudi avtomobili se štejejo za avtomobile.
2402301574.jpg#1r1e	entailment	A motorcyclist with a Puma fanny-pak parked on the sidewalk with the kickstand of his bike up.	A person wearing a Puma fanny-pak is outside.	A motorcyclist is a person and he is on the sidewalk so he must be outside.	Motorist z obutvijo Puma je parkiral na pločniku z dvignjenim stojalom kolesa.	Oseba, ki nosi majico Puma, je zunaj.	Motorist je oseba in je na pločniku, zato mora biti zunaj.
210713758.jpg#0r1n	neutral	A young boy in a blue shirt examining a baby crocodile while at the zoo.	A young boy watching a crocodile eat.	A crocodile at a zoo might eat, or it could also just sun itself.	Mlad fant v modri srajci pregleduje mladiča krokodila v živalskem vrtu.	Mlad fant opazuje krokodila pri prehranjevanju.	Krokodil v živalskem vrtu bi lahko jedel ali pa se samo sončil.
18171073.jpg#3r2n	neutral	Two women talk and laugh while people walk by.	Two women catching up at lunch.	The two women aren't necessarily at lunch and they may or  may not be catching up.	Dve ženski se pogovarjata in smejita, medtem ko ljudje hodijo mimo.	Dve ženski nadoknadita zamujeno pri kosilu.	Ni nujno, da sta obe ženski na kosilu in se lahko ujameta ali pa tudi ne.
3864134621.jpg#0r1n	neutral	Boy, of age approximately 7 years old, down on one knee wearing rollerblades and a protective helmet.	A young boy is on his knee because his mother said to do so.	The young boy is not necessarily on his knee because his mother said to do so.	Deček, star približno 7 let, na enem kolenu, obut v rolerje in zaščitno čelado.	Mlad fant je na kolenih, ker je tako rekla njegova mama.	Deček ni nujno na kolenih, ker je tako rekla njegova mama.
